,RF s/ consistencia,RF s/ consistencia,RF s/ consistencia,RF s/ consistencia,RF s/ consistencia,RF s/ consistencia,RF s/ consistencia,RF s/ consistencia,RF s/ consistencia,RF s/ consistencia,RF c/ consistencia,RF c/ consistencia,RF c/ consistencia,RF c/ consistencia,RF c/ consistencia,RF c/ consistencia,RF c/ consistencia,RF c/ consistencia,RF c/ consistencia,RF c/ consistencia,MLP s/ consistencia,MLP s/ consistencia,MLP s/ consistencia,MLP s/ consistencia,MLP s/ consistencia,MLP s/ consistencia,MLP s/ consistencia,MLP s/ consistencia,MLP s/ consistencia,MLP s/ consistencia,MLP c/ consistencia,MLP c/ consistencia,MLP c/ consistencia,MLP c/ consistencia,MLP c/ consistencia,MLP c/ consistencia,MLP c/ consistencia,MLP c/ consistencia,MLP c/ consistencia,MLP c/ consistencia
,fnr,fnr,fpr,fpr,tnr,tnr,tpr,tpr,dis,dis,fnr,fnr,fpr,fpr,tnr,tnr,tpr,tpr,dis,dis,fnr,fnr,fpr,fpr,tnr,tnr,tpr,tpr,dis,dis,fnr,fnr,fpr,fpr,tnr,tnr,tpr,tpr,dis,dis
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
res2a_branch2a,0.3200571730081323,0.10838633860459557,0.3219254920049816,0.13861332835620443,0.6780745079950184,0.13861332835620446,0.6799428269918678,0.10838633860459557,0.4783211226637926,0.07350485157887875,0.3202702462676386,0.11850153056314545,0.3167261669028323,0.13971175688868878,0.6832738330971677,0.13971175688868878,0.6797297537323614,0.11850153056314545,0.4782322100104882,0.06721043525177778,0.31130011056939766,0.13507826765373712,0.3677825487399635,0.20812674553989413,0.6322174512600366,0.2081267455398942,0.6886998894306023,0.1350782676537371,0.525104282268028,0.11204816904380839,0.31054818171201437,0.13914736302775596,0.36914120370053777,0.21491235513807347,0.6308587962994623,0.21491235513807347,0.6894518182879855,0.1391473630277559,0.5276698458384413,0.11875599420196353
res2b_branch2a,0.26108124873459493,0.12565987405558407,0.3129457580864256,0.21143295712784496,0.6870542419135743,0.21143295712784496,0.7389187512654051,0.12565987405558407,0.4483913074253001,0.14549386017746618,0.2592165228516187,0.1317453075816561,0.30224883772418265,0.21916663334688977,0.6977511622758173,0.21916663334688974,0.7407834771483811,0.13174530758165615,0.4432730748531664,0.1506799731862455,0.2901318367457322,0.16471199735047298,0.3628129179245985,0.1888509281700134,0.6371870820754016,0.18885092817001342,0.7098681632542679,0.1647119973504729,0.5056549869573848,0.13391335518663228,0.2920770796944117,0.1689695055313376,0.3588297076636691,0.19204374493329268,0.6411702923363308,0.1920437449332927,0.7079229203055881,0.16896950553133758,0.5056136879664934,0.13659024181454632
res2c_branch2a,0.3018246415221353,0.14794946195503955,0.2650726329854776,0.1667457815980214,0.7349273670145223,0.16674578159802142,0.6981753584778647,0.14794946195503958,0.4381494154852126,0.12350401515145053,0.30088731693573256,0.15785081518120767,0.24776906252743652,0.1740516439083001,0.7522309374725634,0.17405164390830008,0.6991126830642674,0.15785081518120767,0.4316179044213436,0.12862001720054958,0.3080241548143846,0.21601644836623438,0.3247150487592798,0.1713359766402009,0.6752849512407201,0.1713359766402009,0.6919758451856155,0.21601644836623438,0.4961268157234586,0.15642302934979582,0.3026262437982942,0.21694317922209802,0.31693978450066623,0.17693589557838552,0.6830602154993338,0.17693589557838554,0.6973737562017059,0.21694317922209802,0.48846071677956104,0.1612147715870243
res3a_branch2a,0.2642229434443959,0.14557272240229027,0.26379730599622886,0.18719082757498445,0.7362026940037713,0.18719082757498445,0.735777056555604,0.1455727224022903,0.41918422464519345,0.12401658266318785,0.25874690256352856,0.1521586954762687,0.24580710289774269,0.18214478283692523,0.7541928971022572,0.18214478283692526,0.7412530974364714,0.15215869547626867,0.4044369300662768,0.12492431377033303,0.3370035762275865,0.15460028693374,0.29058436212845956,0.09036662435041533,0.7094156378715405,0.09036662435041533,0.6629964237724134,0.15460028693374006,0.46574611791985515,0.10389906402923504,0.3381305015206653,0.1578765228992637,0.27398290927613506,0.09516259699951435,0.7260170907238649,0.09516259699951435,0.6618694984793347,0.1578765228992637,0.4574245142453843,0.10799449662846335
res3b_branch2a,0.31566321780798545,0.17370594835019057,0.28730072911980004,0.1733799404996183,0.7126992708801999,0.1733799404996183,0.6843367821920147,0.17370594835019054,0.468764768267708,0.13410629861436588,0.31852720883905533,0.1849953347087632,0.2718154833389466,0.17903951787042782,0.7281845166610534,0.17903951787042788,0.6814727911609446,0.18499533470876323,0.46601165475821094,0.13866090789861496,0.24451307154739765,0.14362595307484782,0.39985796867168555,0.16828015447977157,0.6001420313283146,0.16828015447977163,0.7554869284526023,0.14362595307484785,0.5030221327146998,0.1068579312157342,0.24297983546157015,0.1499720306194003,0.3919055800872045,0.17490097391005147,0.6080944199127954,0.1749009739100515,0.7570201645384299,0.1499720306194003,0.5000325775055499,0.10489586225187338
res3c_branch2a,0.308009687886525,0.17079275835637306,0.29143798129530785,0.16703058332572723,0.7085620187046922,0.16703058332572723,0.6919903121134751,0.170792758356373,0.4628253520229305,0.13552854001532869,0.31102256048876215,0.18139547893226113,0.2744833895390683,0.17904419515597303,0.7255166104609317,0.179044195155973,0.688977439511238,0.18139547893226113,0.45960564736020465,0.14458495227415402,0.2680994270984279,0.1398104749982318,0.39512685062370073,0.21749292809444576,0.6048731493762993,0.21749292809444576,0.7319005729015722,0.13981047499823182,0.5178829629717678,0.14705400774190333,0.26523898383033345,0.13841411934333814,0.3824753448660345,0.22328104235167434,0.6175246551339656,0.2232810423516743,0.7347610161696667,0.13841411934333817,0.5075690182618722,0.1513350321008441
res3d_branch2a,0.34418730819651727,0.1830936085583785,0.25542424853023293,0.17460727974499723,0.7445757514697671,0.17460727974499726,0.6558126918034826,0.18309360855837856,0.4779627940215807,0.11694546250600939,0.3452342482477577,0.1947524256733544,0.2499715801166315,0.18830401213462591,0.7500284198833685,0.1883040121346259,0.6547657517522423,0.19475242567335443,0.48305970860272457,0.12350476757896772,0.3246063937896821,0.2078612327726247,0.3651664958786147,0.1973257316557266,0.6348335041213852,0.1973257316557266,0.675393606210318,0.2078612327726247,0.5467355278064213,0.12005997502632083,0.32698480150350895,0.21413008801547073,0.35969491291658784,0.21257889042101055,0.640305087083412,0.21257889042101055,0.673015198496491,0.2141300880154708,0.5502342182844067,0.12757742568775088
res4a_branch2a,0.3235677973419475,0.14305216906110574,0.25987766027524056,0.12878995086602016,0.7401223397247594,0.12878995086602016,0.6764322026580525,0.14305216906110574,0.44245192775029957,0.10285030438053105,0.32313855130133246,0.1520248975909357,0.2530650235740081,0.14769381412917068,0.7469349764259918,0.1476938141291707,0.6768614486986676,0.1520248975909357,0.4443638895200851,0.11091140970072716,0.30980207091784046,0.2164336142842628,0.3441234996575464,0.2236358515097331,0.6558765003424536,0.22363585150973306,0.6901979290821596,0.21643361428426278,0.5309384127752108,0.14464456427419656,0.30928294928681244,0.2236429664191588,0.3304900188716099,0.2398568804335224,0.6695099811283901,0.23985688043352235,0.6907170507131875,0.22364296641915873,0.5274483969051359,0.15830352618469654
